date,day_of_week,product_category,price,discount_pct,is_holiday_season,units_sold
2025-11-01,Saturday,Electronics,1143.0,2.2,0,19
2025-11-01,Saturday,Toys,239.67,3.4,0,26
2025-11-01,Saturday,Electronics,1151.24,1.9,0,12
2025-11-01,Saturday,Toys,247.99,3.6,0,14
2025-11-01,Saturday,Home,618.57,0.1,0,20
2025-11-01,Saturday,Home,586.67,1.7,0,10
2025-11-01,Saturday,Home,576.13,3.0,0,15
2025-11-01,Saturday,Home,618.43,5.8,0,21
2025-11-01,Saturday,Toys,240.62,7.4,0,21
2025-11-01,Saturday,Toys,259.64,2.9,0,19
2025-11-01,Saturday,Fashion,357.16,0.4,0,18
2025-11-01,Saturday,Electronics,1242.64,6.9,0,22
2025-11-01,Saturday,Beauty,195.56,5.1,0,14
2025-11-01,Saturday,Fashion,355.96,5.6,0,21
2025-11-01,Saturday,Electronics,1213.1,1.4,0,17
2025-11-01,Saturday,Beauty,195.4,7.4,0,15
2025-11-01,Saturday,Toys,242.99,2.6,0,18
2025-11-01,Saturday,Electronics,1236.61,3.2,0,16
2025-11-01,Saturday,Electronics,1165.32,7.5,0,21
2025-11-01,Saturday,Beauty,197.91,7.3,0,14
2025-11-01,Saturday,Beauty,192.86,1.1,0,17
2025-11-01,Saturday,Toys,248.21,4.7,0,11
2025-11-01,Saturday,Home,583.16,8.0,0,15
2025-11-01,Saturday,Electronics,1243.33,1.2,0,17
2025-11-01,Saturday,Fashion,360.22,3.4,0,22
2025-11-02,Sunday,Toys,243.79,4.4,0,19
2025-11-02,Sunday,Electronics,1221.63,0.9,0,24
2025-11-02,Sunday,Home,576.69,3.5,0,12
2025-11-02,Sunday,Beauty,190.06,5.8,0,15
2025-11-02,Sunday,Fashion,350.27,0.9,0,4
2025-11-02,Sunday,Home,620.5,4.1,0,19
2025-11-02,Sunday,Fashion,351.38,6.2,0,22
2025-11-02,Sunday,Toys,260.46,4.8,0,15
2025-11-02,Sunday,Home,622.72,6.7,0,18
2025-11-02,Sunday,Home,584.37,1.9,0,16
2025-11-02,Sunday,Beauty,206.32,7.8,0,17
2025-11-02,Sunday,Toys,256.65,1.0,0,11
2025-11-02,Sunday,Home,601.66,4.9,0,18
2025-11-02,Sunday,Fashion,365.01,6.0,0,15
2025-11-02,Sunday,Beauty,209.9,5.2,0,10
2025-11-02,Sunday,Beauty,207.99,3.6,0,18
2025-11-02,Sunday,Electronics,1210.6,1.8,0,19
2025-11-02,Sunday,Fashion,332.75,5.7,0,19
2025-11-02,Sunday,Electronics,1243.16,0.6,0,18
2025-11-02,Sunday,Fashion,342.25,3.9,0,10
2025-11-02,Sunday,Toys,251.91,1.9,0,16
2025-11-02,Sunday,Beauty,206.15,1.5,0,22
2025-11-03,Monday,Beauty,199.34,5.8,0,21
2025-11-03,Monday,Electronics,1147.27,5.8,0,18
2025-11-03,Monday,Fashion,339.16,3.6,0,15
2025-11-03,Monday,Beauty,193.67,3.7,0,19
2025-11-03,Monday,Toys,239.95,5.2,0,16
2025-11-03,Monday,Toys,258.4,7.8,0,26
2025-11-03,Monday,Fashion,346.72,3.9,0,13
2025-11-03,Monday,Beauty,208.05,1.3,0,22
2025-11-03,Monday,Beauty,195.7,5.6,0,18
2025-11-03,Monday,Toys,254.05,3.9,0,19
2025-11-03,Monday,Electronics,1209.5,4.3,0,21
2025-11-03,Monday,Home,573.43,4.7,0,8
2025-11-03,Monday,Fashion,334.49,4.1,0,17
2025-11-03,Monday,Fashion,334.9,0.5,0,21
2025-11-03,Monday,Toys,243.66,4.8,0,14
2025-11-03,Monday,Toys,239.55,5.3,0,14
2025-11-03,Monday,Home,582.26,5.7,0,16
2025-11-03,Monday,Fashion,341.8,1.0,0,14
2025-11-03,Monday,Electronics,1141.12,5.0,0,13
2025-11-03,Monday,Toys,262.4,0.6,0,18
2025-11-03,Monday,Home,622.85,7.0,0,21
2025-11-04,Tuesday,Home,579.46,6.7,0,16
2025-11-04,Tuesday,Toys,237.7,6.5,0,11
2025-11-04,Tuesday,Home,625.91,0.8,0,20
2025-11-04,Tuesday,Electronics,1229.09,1.2,0,15
2025-11-04,Tuesday,Home,606.29,5.7,0,20
2025-11-04,Tuesday,Home,600.32,2.0,0,24
2025-11-04,Tuesday,Electronics,1151.08,3.4,0,17
2025-11-04,Tuesday,Fashion,354.8,2.1,0,18
2025-11-04,Tuesday,Beauty,201.03,3.4,0,19
2025-11-04,Tuesday,Fashion,351.6,6.7,0,18
2025-11-04,Tuesday,Toys,251.31,3.4,0,22
2025-11-04,Tuesday,Electronics,1247.87,1.7,0,19
2025-11-04,Tuesday,Fashion,355.84,2.8,0,8
2025-11-04,Tuesday,Toys,256.24,7.4,0,14
2025-11-04,Tuesday,Fashion,362.76,7.8,0,21
2025-11-04,Tuesday,Electronics,1161.52,7.4,0,8
2025-11-04,Tuesday,Beauty,206.04,6.9,0,19
2025-11-04,Tuesday,Electronics,1185.91,0.3,0,14
2025-11-04,Tuesday,Beauty,194.45,6.5,0,13
2025-11-04,Tuesday,Fashion,340.3,5.3,0,19
2025-11-05,Wednesday,Home,586.72,0.6,0,18
2025-11-05,Wednesday,Toys,247.49,7.8,0,13
2025-11-05,Wednesday,Toys,245.78,0.2,0,20
2025-11-05,Wednesday,Toys,261.56,2.1,0,15
2025-11-05,Wednesday,Electronics,1211.59,2.8,0,19
2025-11-05,Wednesday,Toys,240.39,7.2,0,12
2025-11-05,Wednesday,Fashion,341.42,5.7,0,29
2025-11-05,Wednesday,Toys,254.67,7.5,0,18
2025-11-05,Wednesday,Fashion,345.25,0.6,0,15
2025-11-05,Wednesday,Home,609.8,1.0,0,14
2025-11-05,Wednesday,Home,600.43,5.3,0,14
2025-11-05,Wednesday,Toys,240.68,3.4,0,24
2025-11-05,Wednesday,Beauty,203.55,7.2,0,14
2025-11-05,Wednesday,Toys,258.34,2.4,0,15
2025-11-05,Wednesday,Fashion,347.55,4.6,0,14
2025-11-05,Wednesday,Beauty,203.51,4.1,0,13
2025-11-05,Wednesday,Fashion,355.56,2.3,0,14
2025-11-05,Wednesday,Electronics,1238.21,6.0,0,12
2025-11-05,Wednesday,Home,583.48,1.6,0,21
2025-11-05,Wednesday,Beauty,202.23,6.1,0,18
2025-11-05,Wednesday,Beauty,198.29,5.0,0,20
2025-11-06,Thursday,Beauty,194.88,5.2,0,25
2025-11-06,Thursday,Electronics,1247.12,6.9,0,24
2025-11-06,Thursday,Fashion,338.66,7.7,0,12
2025-11-06,Thursday,Toys,249.11,4.5,0,20
2025-11-06,Thursday,Fashion,360.55,5.3,0,16
2025-11-06,Thursday,Toys,252.39,7.6,0,23
2025-11-06,Thursday,Toys,248.17,7.3,0,13
2025-11-06,Thursday,Beauty,207.94,5.9,0,14
2025-11-06,Thursday,Fashion,361.9,2.2,0,18
2025-11-06,Thursday,Toys,249.61,1.9,0,10
2025-11-06,Thursday,Fashion,342.01,2.6,0,20
2025-11-06,Thursday,Toys,239.51,1.2,0,15
2025-11-06,Thursday,Fashion,334.75,3.3,0,19
2025-11-06,Thursday,Toys,249.15,0.5,0,20
2025-11-06,Thursday,Toys,261.15,0.2,0,13
2025-11-06,Thursday,Toys,247.01,0.0,0,13
2025-11-06,Thursday,Beauty,200.76,5.9,0,24
2025-11-06,Thursday,Toys,259.95,3.9,0,17
2025-11-06,Thursday,Beauty,196.72,5.4,0,23
2025-11-06,Thursday,Beauty,204.48,6.7,0,30
2025-11-06,Thursday,Toys,238.17,3.2,0,11
2025-11-06,Thursday,Toys,254.07,0.7,0,8
2025-11-07,Friday,Electronics,1171.22,2.6,0,22
2025-11-07,Friday,Beauty,196.54,6.1,0,11
2025-11-07,Friday,Beauty,195.05,0.7,0,23
2025-11-07,Friday,Electronics,1229.88,0.4,0,21
2025-11-07,Friday,Electronics,1233.75,5.2,0,16
2025-11-07,Friday,Electronics,1253.95,1.6,0,20
2025-11-07,Friday,Fashion,349.07,0.9,0,18
2025-11-07,Friday,Fashion,348.78,2.0,0,13
2025-11-07,Friday,Electronics,1233.34,1.3,0,23
2025-11-07,Friday,Home,576.49,0.2,0,15
2025-11-07,Friday,Beauty,197.93,5.7,0,24
2025-11-07,Friday,Electronics,1211.05,6.6,0,18
2025-11-07,Friday,Home,621.02,4.8,0,25
2025-11-07,Friday,Electronics,1235.55,4.5,0,23
2025-11-07,Friday,Home,574.14,5.2,0,19
2025-11-07,Friday,Electronics,1241.95,6.6,0,28
2025-11-07,Friday,Beauty,204.15,3.5,0,25
2025-11-08,Saturday,Home,606.95,7.4,0,18
2025-11-08,Saturday,Toys,244.21,6.8,0,12
2025-11-08,Saturday,Electronics,1173.47,3.6,0,18
2025-11-08,Saturday,Beauty,196.73,4.0,0,11
2025-11-08,Saturday,Home,580.91,1.7,0,19
2025-11-08,Saturday,Toys,255.03,2.2,0,13
2025-11-08,Saturday,Electronics,1202.0,1.5,0,18
2025-11-08,Saturday,Toys,256.45,5.5,0,23
2025-11-08,Saturday,Beauty,198.96,0.1,0,16
2025-11-08,Saturday,Fashion,343.22,4.7,0,22
2025-11-08,Saturday,Beauty,201.07,2.8,0,24
2025-11-08,Saturday,Home,612.17,2.2,0,17
2025-11-08,Saturday,Home,583.83,5.8,0,14
